ID,Yield,TestWt,FDK,DON,StripeRust
VA033,75.2464714,56.43374931,NA,NA,0.222514712
GA156,57.17264569,57.30746032,NA,NA,0.238399541
NC093,64.11194966,57.60463824,NA,NA,0.242416694
LA030,60.36855174,57.07062699,NA,NA,0.254040253
LA045,53.47210163,55.77891903,NA,NA,0.254040253
NC104,74.86184552,57.61587127,NA,NA,0.262353054
TX015,76.11308383,57.87652649,NA,NA,0.270237417
GA047,69.72005928,59.40868886,NA,NA,0.27337436
VA067,72.5558109,56.24809953,NA,17.46840735,0.274499922
VA042,69.61880334,57.62252532,NA,22.29340735,0.274499922
VA135,71.95926327,58.97697756,NA,27.66840735,0.274499922
FL025,72.50591401,57.7178699,NA,NA,0.274499922
GA098,75.92358528,58.51427772,NA,NA,0.274499922
LA088,65.65579841,58.44116942,NA,NA,0.274499922
LA094,77.39791392,58.62696867,NA,NA,0.274499922
LA105,60.55176639,60.13823152,NA,NA,0.274499922
LA106,73.0935799,59.12952628,NA,NA,0.274499922
LA058,62.29670012,58.00760704,NA,NA,0.29837436
AR077,58.92524493,57.53183221,NA,NA,0.301815136
AR100,51.54931262,55.75063006,NA,NA,0.301815136
AR101,58.369828,56.09262317,NA,NA,0.301815136
NC025,56.30003292,55.48020382,NA,NA,0.301815136
SC015,57.79884886,56.50027737,NA,NA,0.301815136
NC038,60.50458605,55.15503265,NA,NA,0.306662015
TX013,70.44982716,55.87649216,NA,NA,0.322727923
LA072,67.0807407,58.22896789,NA,NA,0.33587436
LA078,66.17941544,56.58449838,NA,NA,0.33587436
LA007,69.72918769,57.78875038,NA,NA,0.351636441
VA068,72.30393068,54.96710391,NA,29.46840735,0.365533913
GA117,64.31167866,60.47711168,NA,NA,0.365533913
VA003,78.62323565,55.96028316,NA,NA,0.376578309
AR051,60.72929832,55.00722544,NA,NA,0.376578309
AR053,67.16885479,56.68103627,NA,NA,0.376578309
AR054,75.39176801,56.4152467,NA,NA,0.376578309
AR056,56.52151097,58.7926075,NA,NA,0.376578309
AR060,75.89035436,55.61018041,NA,NA,0.376578309
