"Par1","Par2","midPar.Pheno","midPar.GEBV","pred.mu","pred.mu_sd","pred.varG","pred.varG_sd","mu.sp_low","mu.sp_high"
"GA001","GA002",NA,67.6,67.66,0.13,3.94,0.29,64.18,71.09
"GA001","GA159",NA,68.88,68.92,0.12,4.9,0.49,65.03,72.71
"GA001","GA164",NA,68.18,68.24,0.18,6.02,0.51,63.95,72.48
"GA001","LA136",NA,71.28,71.32,0.16,4.11,0.42,67.8,74.88
"GA001","LA137",NA,72.09,72.16,0.14,4.74,0.41,68.4,75.92
"GA001","LA143",NA,65.77,65.72,0.12,3.26,0.28,62.54,68.78
"GA001","LA144",NA,68.44,68.48,0.14,4.45,0.46,64.82,72.16
"GA001","MD001",NA,69.41,69.4,0.12,5.14,0.6,65.48,73.33
"GA001","MD002",NA,70.73,70.79,0.16,4.23,0.4,67.27,74.35
"GA001","MD033",NA,67.56,67.58,0.15,3.81,0.32,64.14,70.94
"GA001","MD034",NA,67.13,67.13,0.12,5.1,0.5,63.16,71.01
"GA001","NC103",NA,70.94,71,0.14,4.77,0.45,67.19,74.76
"GA001","NC104",NA,69.16,69.22,0.17,5.61,0.56,65.13,73.38
"GA001","NC107",NA,69.62,69.68,0.16,4.82,0.44,65.79,73.43
"GA001","NC108",NA,68.33,68.37,0.19,6.71,0.67,63.88,72.89
"GA001","NC109",NA,69.68,69.73,0.15,4.95,0.5,65.86,73.6
"GA001","NC120",NA,71.78,71.8,0.15,5.58,0.5,67.69,75.9
"GA001","SC001",NA,71.26,71.29,0.12,3.14,0.37,68.16,74.31
"GA001","SC004",NA,71.77,71.76,0.13,3.76,0.38,68.32,75.07
"GA001","SC005",NA,71.5,71.51,0.13,3.54,0.39,68.22,74.79
"GA001","SC037",NA,71.12,71.16,0.12,3.05,0.32,68.1,74.22
"GA001","TX017",NA,68.6,68.58,0.14,4.77,0.38,64.7,72.32
"GA001","TX018",NA,70.07,70.1,0.11,3.5,0.32,66.84,73.35
"GA001","TX021",NA,71.43,71.42,0.13,4.25,0.41,67.86,75.02
"GA001","TX023",NA,72.71,72.74,0.17,4.96,0.48,68.88,76.63
"GA001","VA028",NA,72.22,72.3,0.14,4.73,0.53,68.48,76.03
"GA001","VA029",NA,71.66,71.74,0.15,4.6,0.56,67.98,75.41
"GA001","VA031",NA,71.31,71.32,0.15,3.83,0.34,67.92,74.72
"GA001","VA157",NA,69.75,69.79,0.13,3.8,0.46,66.38,73.17
"GA002","GA159",NA,66.3,66.25,0.15,5.23,0.58,62.26,70.2
"GA002","GA164",NA,65.59,65.58,0.13,4.36,0.45,61.96,69.2
"GA002","LA136",NA,68.7,68.68,0.15,5,0.5,64.78,72.58
"GA002","LA137",NA,69.51,69.5,0.11,4.88,0.43,65.59,73.26
"GA002","LA143",NA,63.19,63.06,0.15,5.61,0.44,58.92,67.15
"GA002","LA144",NA,65.86,65.83,0.14,5.23,0.54,61.84,69.72
"GA002","MD001",NA,66.83,66.73,0.15,6.3,0.59,62.31,70.99
"GA002","MD002",NA,68.15,68.12,0.13,5.95,0.57,63.8,72.27
"GA002","MD033",NA,64.98,64.9,0.15,4.79,0.42,61.08,68.65
"GA002","MD034",NA,64.55,64.47,0.12,4.12,0.35,60.93,67.99
"GA002","NC103",NA,68.36,68.36,0.13,4.61,0.52,64.68,72.12
"GA002","NC104",NA,66.57,66.58,0.16,5.65,0.62,62.47,70.68
"GA002","NC107",NA,67.04,67.04,0.19,6.59,0.72,62.49,71.4
"GA002","NC108",NA,65.75,65.72,0.16,6.48,0.75,61.3,70.14
"GA002","NC109",NA,67.1,67.07,0.17,5.94,0.56,62.84,71.29
"GA002","NC120",NA,69.2,69.16,0.15,6.27,0.47,64.72,73.42
"GA002","SC001",NA,68.68,68.62,0.15,5.31,0.44,64.55,72.5
"GA002","SC004",NA,69.19,69.09,0.15,5.18,0.49,65.05,72.95
"GA002","SC005",NA,68.91,68.86,0.13,5.9,0.57,64.54,73.01
"GA002","SC037",NA,68.54,68.5,0.13,4.24,0.38,64.87,72.03
"GA002","TX017",NA,66.01,65.94,0.16,4.63,0.4,62.13,69.67
"GA002","TX018",NA,67.49,67.45,0.13,4.22,0.32,63.87,71.02
"GA002","TX021",NA,68.85,68.79,0.13,5.57,0.53,64.66,72.87
"GA002","TX023",NA,70.13,70.09,0.17,6.01,0.54,65.8,74.33
"GA002","VA028",NA,69.64,69.65,0.13,4.99,0.6,65.79,73.55
"GA002","VA029",NA,69.08,69.06,0.12,4.19,0.42,65.45,72.55
"GA002","VA031",NA,68.73,68.65,0.16,5.38,0.39,64.63,72.7
"GA002","VA157",NA,67.17,67.14,0.13,4.88,0.52,63.3,70.99
"GA159","GA164",66.26,66.88,66.91,0.18,5.23,0.47,62.89,70.83
"GA159","LA136",67.78,69.99,70,0.2,6.19,0.54,65.64,74.28
"GA159","LA137",69.85,70.8,70.82,0.18,4.07,0.31,67.26,74.23
"GA159","LA143",NA,64.48,64.39,0.16,5.64,0.39,60.29,68.56
"GA159","LA144",NA,67.15,67.16,0.17,6.78,0.57,62.67,71.69
"GA159","MD001",NA,68.12,68.06,0.18,7.07,0.6,63.48,72.67
"GA159","MD002",NA,69.44,69.45,0.17,5.16,0.47,65.51,73.35
"GA159","MD033",NA,66.27,66.24,0.18,5.33,0.41,62.25,70.27
"GA159","MD034",NA,65.84,65.8,0.17,5.38,0.53,61.71,69.76
"GA159","NC103",66.65,69.65,69.68,0.15,4.57,0.44,65.97,73.4
"GA159","NC104",67.76,67.86,67.91,0.15,3.61,0.29,64.64,71.25
"GA159","NC107",66.41,68.33,68.34,0.16,4.31,0.52,64.7,71.93
"GA159","NC108",69.55,67.04,67.04,0.18,5.09,0.59,63.15,71.01
"GA159","NC109",65.95,68.39,68.4,0.17,4.03,0.37,64.96,71.9
"GA159","NC120",67.91,70.48,70.48,0.2,8.09,0.66,65.58,75.37
"GA159","SC001",72.44,69.97,69.95,0.15,6.66,0.58,65.52,74.44
"GA159","SC004",70.57,70.48,70.43,0.2,8.25,0.72,65.4,75.36
"GA159","SC005",66.56,70.2,70.19,0.16,6.57,0.72,65.73,74.63
"GA159","SC037",69.66,69.82,69.85,0.19,5.73,0.46,65.66,74.01
"GA159","TX017",65.41,67.3,67.26,0.17,4.83,0.43,63.42,71.09
"GA159","TX018",67.71,68.78,68.78,0.15,4.5,0.3,65.14,72.48
"GA159","TX021",68.47,70.14,70.11,0.15,4.91,0.41,66.31,73.98
"GA159","TX023",72.67,71.42,71.43,0.19,7.3,0.55,66.77,76.16
"GA159","VA028",NA,70.93,70.97,0.15,4.24,0.47,67.41,74.52
"GA159","VA029",NA,70.36,70.41,0.17,3.87,0.31,66.98,73.83
"GA159","VA031",NA,70.01,69.99,0.19,5.66,0.38,65.87,74.13
"GA159","VA157",NA,68.46,68.47,0.15,4.04,0.37,65,71.97
"GA164","LA136",73.37,69.28,69.26,0.15,4.59,0.44,65.52,72.99
"GA164","LA137",75.44,70.09,70.08,0.16,4.74,0.41,66.31,73.88
