"Parent1","Parent2","Yield_param.df.Par1","Yield_param.df.Par2","Yield_param.df.midPar.Pheno","Yield_param.df.midPar.GEBV","Yield_param.df.pred.mu","Yield_param.df.pred.mu_sd","Yield_param.df.pred.varG","Yield_param.df.pred.varG_sd","Yield_param.df.mu.sp_low","Yield_param.df.mu.sp_high","Yield_param.df.low.resp_DON","Yield_param.df.high.resp_DON","Yield_param.df.cor_w._DON","DON_param.df.Par1","DON_param.df.Par2","DON_param.df.midPar.Pheno","DON_param.df.midPar.GEBV","DON_param.df.pred.mu","DON_param.df.pred.mu_sd","DON_param.df.pred.varG","DON_param.df.pred.varG_sd","DON_param.df.mu.sp_low","DON_param.df.mu.sp_high","DON_param.df.low.resp_Yield","DON_param.df.high.resp_Yield","DON_param.df.cor_w._Yield"
"MD033","SC001","MD033","SC001",NA,68.64,68.62,0.19,4.88,0.45,64.81,72.5,11.5,11.85,0.07,"MD033","SC001",NA,11.69,11.7,0.09,1.71,0.2,9.42,13.94,68.25,68.85,0.07
"MD033","SC004","MD033","SC004",NA,69.16,69.17,0.18,5.74,0.58,65,73.31,11.54,11.77,0.06,"MD033","SC004",NA,11.65,11.68,0.1,1.51,0.13,9.56,13.8,69.03,69.43,0.06
"MD033","SC005","MD033","SC005",NA,68.88,68.85,0.16,4.93,0.46,65,72.68,9.86,9.62,-0.05,"MD033","SC005",NA,9.69,9.72,0.09,1.55,0.11,7.57,11.87,69.04,68.63,-0.05
"MD033","SC037","MD033","SC037",NA,68.5,68.53,0.13,4.07,0.45,65.02,71.99,10.45,10.24,-0.03,"MD033","SC037",NA,10.31,10.32,0.1,1.93,0.19,7.93,12.75,68.7,68.5,-0.03
"MD033","TX017","MD033","TX017",NA,65.98,65.96,0.18,4.93,0.52,62.11,69.86,12.36,13.06,0.13,"MD033","TX017",NA,12.71,12.7,0.13,2.1,0.23,10.21,15.25,65.43,66.43,0.13
"MD033","TX018","MD033","TX018",NA,67.45,67.44,0.14,2.88,0.31,64.46,70.34,11.93,11.98,0.01,"MD033","TX018",NA,11.96,11.96,0.1,1.52,0.13,9.81,14.1,67.44,67.51,0.01
"MD033","TX021","MD033","TX021",NA,68.82,68.83,0.16,3.81,0.4,65.43,72.22,13.12,13.88,0.15,"MD033","TX021",NA,13.46,13.46,0.13,2.11,0.19,10.97,15.99,68.28,69.34,0.15
"MD033","TX023","MD033","TX023",NA,70.09,70.08,0.21,5.49,0.4,65.96,74.1,12.93,13.26,0.06,"MD033","TX023",NA,13.14,13.14,0.13,1.91,0.18,10.74,15.54,69.83,70.47,0.06
"MD033","VA028","MD033","VA028",NA,69.6,69.61,0.23,5.93,0.77,65.43,73.86,9.05,8.19,-0.18,"MD033","VA028",NA,8.56,8.59,0.08,1.88,0.19,6.22,10.95,70.41,68.94,-0.18
"MD033","VA029","MD033","VA029",NA,69.04,69.04,0.18,5.22,0.54,65.13,72.98,10.16,9.71,-0.1,"MD033","VA029",NA,9.9,9.93,0.08,1.54,0.14,7.76,12.08,69.38,68.56,-0.1
"MD033","VA031","MD033","VA031",NA,68.69,68.68,0.19,4.73,0.43,64.86,72.48,10.12,9.34,-0.19,"MD033","VA031",NA,9.69,9.7,0.09,1.37,0.13,7.68,11.73,69.48,67.95,-0.19
"MD033","VA157","MD033","VA157",NA,67.13,67.15,0.16,4.33,0.41,63.52,70.73,11.38,10.89,-0.12,"MD033","VA157",NA,11.15,11.17,0.11,1.59,0.15,8.99,13.37,67.53,66.72,-0.12
"MD034","NC103","MD034","NC103",NA,67.89,67.84,0.17,5.04,0.45,63.95,71.71,8.75,8.44,-0.07,"MD034","NC103",NA,8.58,8.6,0.07,1.8,0.21,6.25,10.89,68.14,67.78,-0.07
"MD034","NC104","MD034","NC104",NA,66.11,66.08,0.2,5.67,0.52,61.99,70.26,10.62,11.36,0.17,"MD034","NC104",NA,11.08,11.09,0.09,1.79,0.16,8.77,13.41,65.42,66.64,0.17
"MD034","NC107","MD034","NC107",NA,66.57,66.51,0.2,7.79,0.73,61.68,71.36,9.05,9.21,0.04,"MD034","NC107",NA,9.14,9.18,0.09,1.7,0.14,6.92,11.46,66.18,66.54,0.04
"MD034","NC108","MD034","NC108",NA,65.28,65.21,0.14,4.59,0.4,61.47,68.94,10.48,10.51,0,"MD034","NC108",NA,10.48,10.49,0.07,1.88,0.17,8.08,12.87,65.18,65.13,0
"MD034","NC109","MD034","NC109",NA,66.64,66.58,0.2,6.18,0.57,62.22,70.82,6.85,7.05,0.03,"MD034","NC109",NA,7.01,7.03,0.11,2.22,0.24,4.47,9.59,66.65,66.81,0.03
"MD034","NC120","MD034","NC120",NA,68.73,68.66,0.2,5.54,0.55,64.52,72.71,9.28,9.52,0.04,"MD034","NC120",NA,9.36,9.36,0.11,2.15,0.25,6.84,11.91,68.45,68.72,0.04
"MD034","SC001","MD034","SC001",NA,68.21,68.12,0.16,6.95,0.76,63.52,72.6,8.9,10.23,0.25,"MD034","SC001",NA,9.62,9.64,0.1,2.48,0.31,6.89,12.34,66.77,69.15,0.25
"MD034","SC004","MD034","SC004",NA,68.72,68.66,0.19,6.19,0.74,64.28,72.93,9.54,9.6,0.02,"MD034","SC004",NA,9.58,9.62,0.09,1.71,0.16,7.33,11.88,68.55,68.79,0.02
"MD034","SC005","MD034","SC005",NA,68.45,68.35,0.2,6.87,0.75,63.77,72.84,7.57,7.77,0.04,"MD034","SC005",NA,7.62,7.65,0.1,2.14,0.16,5.09,10.19,68.14,68.46,0.04
"MD034","SC037","MD034","SC037",NA,68.07,68.05,0.15,5.67,0.61,63.92,72.21,8.43,8,-0.1,"MD034","SC037",NA,8.24,8.27,0.09,1.62,0.18,6.02,10.46,68.36,67.65,-0.1
"MD034","TX017","MD034","TX017",NA,65.55,65.51,0.1,4.07,0.43,62,69.01,10.23,11.26,0.18,"MD034","TX017",NA,10.64,10.63,0.15,2.7,0.23,7.89,13.47,64.8,65.94,0.18
"MD034","TX018","MD034","TX018",NA,67.02,66.96,0.15,3.83,0.36,63.56,70.33,9.57,10.14,0.13,"MD034","TX018",NA,9.89,9.89,0.1,2.1,0.19,7.37,12.38,66.49,67.25,0.13
"MD034","TX021","MD034","TX021",NA,68.39,68.34,0.14,5.08,0.46,64.44,72.27,10.3,12.45,0.38,"MD034","TX021",NA,11.39,11.39,0.15,2.99,0.25,8.45,14.36,67.05,69.7,0.38
"MD034","TX023","MD034","TX023",NA,69.66,69.59,0.17,7.34,0.69,64.81,74.26,10.55,11.68,0.2,"MD034","TX023",NA,11.07,11.07,0.14,2.68,0.21,8.26,13.87,68.75,70.41,0.2
"MD034","VA028","MD034","VA028",NA,69.17,69.15,0.21,5.44,0.54,65.08,73.22,7.19,5.79,-0.29,"MD034","VA028",NA,6.49,6.52,0.11,2.13,0.19,4.03,9.03,70.49,68.09,-0.29
"MD034","VA029","MD034","VA029",NA,68.61,68.53,0.17,6.43,0.55,64.11,72.88,7.97,7.67,-0.07,"MD034","VA029",NA,7.83,7.85,0.09,1.83,0.16,5.49,10.16,68.77,68.25,-0.07
"MD034","VA031","MD034","VA031",NA,68.26,68.19,0.19,6.1,0.7,63.85,72.43,7.92,7.37,-0.13,"MD034","VA031",NA,7.62,7.63,0.11,1.61,0.19,5.43,9.81,68.69,67.63,-0.13
"MD034","VA157","MD034","VA157",NA,66.7,66.68,0.15,5.2,0.63,62.69,70.66,8.75,9.4,0.11,"MD034","VA157",NA,9.08,9.09,0.14,2.72,0.29,6.22,11.91,66.27,67.05,0.11
"NC103","NC104","NC103","NC104",73.75,69.92,69.93,0.14,3.72,0.34,66.61,73.32,12.07,11.64,-0.1,"NC103","NC104",NA,11.83,11.82,0.09,1.54,0.11,9.7,13.92,70.26,69.68,-0.1
"NC103","NC107","NC103","NC107",72.39,70.39,70.35,0.19,4.92,0.38,66.46,74.13,10.03,9.92,-0.02,"NC103","NC107",7.84,9.89,9.91,0.08,1.92,0.2,7.52,12.28,70.35,70.39,-0.02
"NC103","NC108","NC103","NC108",75.53,69.1,69.08,0.14,4.43,0.37,65.37,72.72,11.77,10.65,-0.28,"NC103","NC108",9.06,11.23,11.22,0.08,1.2,0.12,9.45,13.05,70.11,68,-0.28
"NC103","NC109","NC103","NC109",71.94,70.45,70.43,0.12,3.74,0.41,67.01,73.74,7.48,8.01,0.14,"NC103","NC109",NA,7.76,7.76,0.08,1.28,0.14,5.76,9.71,70.02,70.99,0.14
"NC103","NC120","NC103","NC120",73.89,72.54,72.53,0.16,5.49,0.61,68.46,76.57,10.18,9.89,-0.08,"NC103","NC120",NA,10.1,10.09,0.08,0.98,0.08,8.4,11.83,72.85,72.18,-0.08
"NC103","SC001","NC103","SC001",78.42,72.03,72,0.15,4.98,0.71,68.09,75.8,10.15,10.74,0.14,"NC103","SC001",NA,10.37,10.37,0.08,1.71,0.21,8.13,12.64,71.42,72.6,0.14
"NC103","SC004","NC103","SC004",76.56,72.54,72.55,0.15,5.69,0.49,68.44,76.73,10.25,10.39,0.03,"NC103","SC004",NA,10.33,10.35,0.08,1.03,0.11,8.6,12.12,72.32,72.68,0.03
"NC103","SC005","NC103","SC005",72.55,72.26,72.21,0.15,4.19,0.45,68.61,75.73,8.13,8.63,0.12,"NC103","SC005",NA,8.37,8.38,0.08,1.16,0.08,6.55,10.26,71.81,72.7,0.12
"NC103","SC037","NC103","SC037",75.65,71.88,71.92,0.15,4.25,0.45,68.32,75.5,9.03,9.03,-0.01,"NC103","SC037",NA,8.99,8.99,0.07,0.99,0.11,7.24,10.72,71.98,71.86,-0.01
"NC103","TX017","NC103","TX017",71.39,69.36,69.36,0.16,4.25,0.41,65.83,72.99,11.42,11.43,0,"NC103","TX017",NA,11.39,11.38,0.13,1.92,0.18,9.03,13.81,69.35,69.39,0
"NC103","TX018","NC103","TX018",73.69,70.84,70.82,0.09,3.13,0.3,67.79,73.9,10.96,10.33,-0.15,"NC103","TX018",NA,10.64,10.63,0.09,1.49,0.12,8.55,12.71,71.16,70.4,-0.15
"NC103","TX021","NC103","TX021",74.46,72.2,72.21,0.16,4.74,0.43,68.44,75.99,11.85,12.48,0.14,"NC103","TX021",NA,12.14,12.13,0.12,2.26,0.2,9.55,14.74,71.63,72.67,0.14
"NC103","TX023","NC103","TX023",78.65,73.48,73.47,0.17,5.94,0.48,69.22,77.73,11.19,12.37,0.27,"NC103","TX023",NA,11.81,11.81,0.1,1.4,0.14,9.76,13.84,72.34,74.62,0.27
"NC103","VA028","NC103","VA028",NA,72.99,72.99,0.1,2.37,0.28,70.31,75.67,7.26,7.28,0,"NC103","VA028",NA,7.24,7.26,0.08,1.21,0.14,5.33,9.17,72.93,73.05,0
"NC103","VA029","NC103","VA029",NA,72.42,72.41,0.11,2.86,0.26,69.53,75.38,8.53,8.64,0.06,"NC103","VA029",NA,8.58,8.59,0.04,0.62,0.06,7.24,9.97,72.26,72.64,0.06
"NC103","VA031","NC103","VA031",NA,72.07,72.07,0.12,3.4,0.28,68.8,75.24,8.87,7.81,-0.31,"NC103","VA031",NA,8.37,8.37,0.08,0.89,0.1,6.74,10.02,73.06,71.03,-0.31
"NC103","VA157","NC103","VA157",NA,70.51,70.53,0.11,3.25,0.33,67.41,73.66,9.67,10.08,0.12,"NC103","VA157",NA,9.83,9.83,0.1,1.12,0.1,8.01,11.63,70.13,70.89,0.12
"NC104","NC107","NC104","NC107",73.51,68.6,68.58,0.2,5.05,0.44,64.69,72.49,12.72,12.14,-0.12,"NC104","NC107",NA,12.38,12.41,0.09,1.62,0.15,10.17,14.62,69.07,68.19,-0.12
"NC104","NC108","NC104","NC108",76.65,67.31,67.28,0.15,4.23,0.45,63.65,70.84,13.56,13.87,0.11,"NC104","NC108",NA,13.73,13.73,0.05,0.69,0.06,12.28,15.16,66.93,67.78,0.11
"NC104","NC109","NC104","NC109",73.05,68.66,68.65,0.16,4.9,0.46,64.82,72.53,10.28,10.35,0.02,"NC104","NC109",NA,10.25,10.26,0.11,2.62,0.18,7.48,13.05,68.66,68.87,0.02
"NC104","NC120","NC104","NC120",75.01,70.76,70.73,0.24,8.36,0.72,65.75,75.77,12.75,12.45,-0.06,"NC104","NC120",NA,12.6,12.59,0.07,1.57,0.13,10.41,14.76,71.03,70.36,-0.06
"NC104","SC001","NC104","SC001",79.54,70.24,70.21,0.21,6.91,0.8,65.65,74.77,12.59,13.23,0.17,"NC104","SC001",NA,12.87,12.86,0.08,1.41,0.13,10.77,14.89,69.32,70.97,0.17
"NC104","SC004","NC104","SC004",77.67,70.75,70.75,0.19,8.29,0.79,65.76,75.75,13.01,12.62,-0.07,"NC104","SC004",NA,12.82,12.85,0.1,1.32,0.12,10.87,14.85,71.07,70.54,-0.07
"NC104","SC005","NC104","SC005",73.66,70.47,70.42,0.21,5.72,0.54,66.33,74.61,10.91,10.82,-0.01,"NC104","SC005",NA,10.86,10.89,0.12,2.03,0.18,8.45,13.36,70.43,70.34,-0.01
"NC104","SC037","NC104","SC037",76.76,70.1,70.12,0.16,5.69,0.64,65.94,74.24,12.04,11.13,-0.16,"NC104","SC037",NA,11.48,11.51,0.12,2.39,0.25,8.89,14.17,70.81,69.57,-0.16
"NC104","TX017","NC104","TX017",72.5,67.57,67.55,0.19,5.46,0.52,63.48,71.64,13.47,14.18,0.17,"NC104","TX017",NA,13.88,13.86,0.09,1.71,0.18,11.64,16.16,66.87,68.25,0.17
"NC104","TX018","NC104","TX018",74.81,69.05,69.04,0.15,4.99,0.49,65.21,72.95,12.78,13.5,0.21,"NC104","TX018",NA,13.13,13.13,0.06,1.03,0.1,11.37,14.88,68.2,69.89,0.21
"NC104","TX021","NC104","TX021",75.57,70.41,70.4,0.17,5.29,0.55,66.41,74.4,14.07,15.31,0.3,"NC104","TX021",NA,14.63,14.63,0.11,1.57,0.14,12.48,16.83,69.35,71.55,0.3
"NC104","TX023","NC104","TX023",79.77,71.69,71.65,0.2,8.23,0.67,66.65,76.59,14.11,14.55,0.12,"NC104","TX023",NA,14.31,14.31,0.1,1.65,0.15,12.05,16.54,71.2,72.16,0.12
"NC104","VA028","NC104","VA028",NA,71.2,71.2,0.16,3.94,0.39,67.77,74.68,10.27,9.17,-0.17,"NC104","VA028",NA,9.73,9.75,0.12,3.24,0.28,6.69,12.85,71.74,70.65,-0.17
"NC104","VA029","NC104","VA029",NA,70.64,70.61,0.14,3.22,0.24,67.53,73.78,11.48,10.58,-0.19,"NC104","VA029",NA,11.07,11.09,0.08,1.86,0.19,8.77,13.45,71.17,70.11,-0.19
"NC104","VA031","NC104","VA031",NA,70.29,70.25,0.16,4.61,0.45,66.55,73.98,11.03,10.69,-0.08,"NC104","VA031",NA,10.86,10.87,0.11,1.75,0.14,8.58,13.18,70.44,69.9,-0.08
"NC104","VA157","NC104","VA157",NA,68.73,68.74,0.12,3.53,0.25,65.46,72,12.1,12.6,0.14,"NC104","VA157",NA,12.32,12.33,0.1,1.71,0.15,10.08,14.57,68.33,69.2,0.14
"NC107","NC108","NC107","NC108",75.29,67.78,67.77,0.17,5.85,0.66,63.56,71.94,11.42,12.04,0.13,"NC107","NC108",10.32,11.79,11.76,0.1,1.38,0.11,9.74,13.81,67.16,68.16,0.13
"NC107","NC109","NC107","NC109",71.7,69.13,69.14,0.14,2.59,0.25,66.31,71.87,8.17,8.51,0.06,"NC107","NC109",NA,8.32,8.3,0.09,2.17,0.21,5.77,10.8,68.95,69.31,0.06
"NC107","NC120","NC107","NC120",73.65,71.22,71.23,0.23,7.46,0.68,66.48,75.97,10.74,10.56,-0.07,"NC107","NC120",NA,10.66,10.63,0.08,1.76,0.21,8.33,12.94,71.53,70.88,-0.07
"NC107","SC001","NC107","SC001",78.18,70.7,70.69,0.14,4.35,0.43,67.1,74.32,10.86,10.95,0.04,"NC107","SC001",NA,10.93,10.9,0.08,1.46,0.16,8.8,12.99,70.54,70.88,0.04
"NC107","SC004","NC107","SC004",76.32,71.22,71.24,0.14,7.44,0.83,66.49,75.97,11.7,10.14,-0.35,"NC107","SC004",NA,10.88,10.88,0.1,1.66,0.15,8.65,13.14,72.74,69.5,-0.35
"NC107","SC005","NC107","SC005",72.3,70.94,70.91,0.16,3.84,0.33,67.45,74.3,9.14,8.82,-0.09,"NC107","SC005",NA,8.92,8.92,0.08,1.34,0.15,6.91,10.95,71.26,70.68,-0.09
"NC107","SC037","NC107","SC037",75.41,70.56,70.61,0.15,5.25,0.47,66.62,74.6,9.98,9.07,-0.18,"NC107","SC037",NA,9.55,9.52,0.11,2.32,0.18,6.93,12.16,71.24,69.86,-0.18
"NC107","TX017","NC107","TX017",71.15,68.04,68.06,0.14,5.27,0.63,64.03,72.04,12.13,11.75,-0.06,"NC107","TX017",NA,11.95,11.89,0.13,2.35,0.19,9.25,14.57,68.35,67.84,-0.06
"NC107","TX018","NC107","TX018",73.45,69.51,69.52,0.17,5.88,0.55,65.31,73.74,11.09,11.2,0.02,"NC107","TX018",NA,11.2,11.16,0.08,1.46,0.17,9.06,13.25,69.34,69.54,0.02
"NC107","TX021","NC107","TX021",74.22,70.88,70.89,0.17,4.95,0.42,66.97,74.71,12.56,12.75,0.04,"NC107","TX021",NA,12.7,12.67,0.11,1.99,0.19,10.28,15.11,70.73,71.08,0.04
"NC107","TX023","NC107","TX023",78.41,72.15,72.15,0.14,6.92,0.68,67.65,76.75,12.52,12.19,-0.08,"NC107","TX023",NA,12.37,12.35,0.11,1.81,0.14,10.02,14.71,72.46,71.81,-0.08
"NC107","VA028","NC107","VA028",NA,71.66,71.69,0.18,4.99,0.5,67.76,75.49,8.19,7.43,-0.15,"NC107","VA028",NA,7.8,7.78,0.09,2.51,0.24,5.14,10.41,72.19,71.21,-0.15
"NC107","VA029","NC107","VA029",NA,71.1,71.11,0.14,4.5,0.46,67.44,74.82,9.49,8.68,-0.2,"NC107","VA029",NA,9.13,9.12,0.08,1.59,0.14,6.95,11.28,71.79,70.37,-0.2
"NC107","VA031","NC107","VA031",NA,70.75,70.77,0.19,4.72,0.36,66.9,74.5,9.03,8.83,-0.05,"NC107","VA031",NA,8.93,8.9,0.11,2.07,0.19,6.41,11.39,70.94,70.53,-0.05
"NC107","VA157","NC107","VA157",NA,69.19,69.23,0.16,4.19,0.39,65.64,72.76,10.52,10.29,-0.04,"NC107","VA157",NA,10.39,10.36,0.12,2.32,0.26,7.71,12.97,69.47,69.03,-0.04
"NC108","NC109","NC108","NC109",74.84,67.84,67.86,0.16,4.9,0.49,64,71.72,9.54,9.87,0.07,"NC108","NC109",NA,9.66,9.66,0.11,2.61,0.18,6.89,12.42,67.72,68.3,0.07
"NC108","NC120","NC108","NC120",76.79,69.93,69.95,0.18,5.92,0.59,65.74,74.16,12.2,11.65,-0.13,"NC108","NC120",NA,12,12,0.09,1.51,0.17,9.89,14.13,70.51,69.47,-0.13
"NC108","SC001","NC108","SC001",81.32,69.42,69.4,0.16,6.33,0.45,65.1,73.81,11.78,12.83,0.27,"NC108","SC001",NA,12.27,12.27,0.07,1.37,0.13,10.23,14.31,68.23,70.58,0.27
"NC108","SC004","NC108","SC004",79.46,69.93,69.96,0.19,9,0.85,64.72,75.11,12.55,11.94,-0.12,"NC108","SC004",NA,12.23,12.26,0.1,1.47,0.13,10.16,14.34,70.69,69.35,-0.12
"NC108","SC005","NC108","SC005",75.44,69.65,69.6,0.19,6.33,0.54,65.22,73.97,10.36,10.3,-0.02,"NC108","SC005",NA,10.27,10.3,0.12,1.87,0.19,7.95,12.66,69.77,69.67,-0.02
"NC108","SC037","NC108","SC037",78.55,69.27,69.33,0.14,7.12,0.53,64.67,73.94,11.4,10.5,-0.18,"NC108","SC037",NA,10.89,10.89,0.11,2.18,0.17,8.4,13.4,70.39,68.56,-0.18
"NC108","TX017","NC108","TX017",74.29,66.75,66.74,0.16,4.48,0.48,63.1,70.44,13.02,13.52,0.12,"NC108","TX017",NA,13.29,13.27,0.1,1.65,0.17,11.09,15.5,66.36,67.05,0.12
"NC108","TX018","NC108","TX018",76.59,68.22,68.23,0.11,4.23,0.4,64.68,71.84,12.51,12.58,0.04,"NC108","TX018",NA,12.54,12.53,0.07,0.79,0.08,10.98,14.08,68.08,68.44,0.04
"NC108","TX021","NC108","TX021",77.35,69.59,69.61,0.16,5.04,0.52,65.67,73.48,13.5,14.7,0.28,"NC108","TX021",NA,14.04,14.03,0.11,1.77,0.18,11.76,16.4,68.53,70.69,0.28
"NC108","TX023","NC108","TX023",81.55,70.87,70.86,0.15,7.45,0.72,66.15,75.58,13.29,14.12,0.17,"NC108","TX023",NA,13.71,13.71,0.1,1.54,0.14,11.56,15.89,70.08,71.72,0.17
"NC108","VA028","NC108","VA028",NA,70.38,70.41,0.17,4.96,0.49,66.49,74.25,9.79,8.59,-0.21,"NC108","VA028",NA,9.14,9.15,0.11,3.07,0.26,6.16,12.15,71.21,69.73,-0.21
"NC108","VA029","NC108","VA029",NA,69.81,69.8,0.14,4.96,0.43,65.91,73.68,10.76,10.28,-0.13,"NC108","VA029",NA,10.48,10.5,0.06,1.52,0.15,8.41,12.62,70.21,69.46,-0.13
"NC108","VA031","NC108","VA031",NA,69.46,69.46,0.19,5.64,0.53,65.3,73.59,10.67,9.91,-0.18,"NC108","VA031",NA,10.27,10.27,0.09,1.59,0.14,8.11,12.44,70.18,68.7,-0.18
"NC108","VA157","NC108","VA157",NA,67.9,67.95,0.1,4.89,0.51,64.14,71.81,11.68,11.9,0.05,"NC108","VA157",NA,11.73,11.73,0.1,1.62,0.12,9.55,13.9,67.84,68.21,0.05
"NC109","NC120","NC109","NC120",73.2,71.28,71.27,0.18,5.42,0.56,67.23,75.35,8.18,8.84,0.15,"NC109","NC120",NA,8.53,8.52,0.09,1.36,0.11,6.5,10.55,70.58,71.83,0.15
"NC109","SC001","NC109","SC001",77.73,70.77,70.74,0.13,4.2,0.51,67.14,74.32,8.51,9.13,0.14,"NC109","SC001",NA,8.8,8.79,0.09,2.29,0.22,6.21,11.4,70.28,71.22,0.14
"NC109","SC004","NC109","SC004",75.86,71.28,71.3,0.15,6.46,0.73,66.85,75.68,8.66,8.88,0.06,"NC109","SC004",NA,8.75,8.77,0.1,1.79,0.18,6.48,11.12,71.04,71.59,0.06
"NC109","SC005","NC109","SC005",71.85,71,70.95,0.16,4.3,0.49,67.35,74.56,6.51,7.1,0.15,"NC109","SC005",NA,6.79,6.81,0.08,1.21,0.15,4.92,8.71,70.53,71.41,0.15
"NC109","SC037","NC109","SC037",74.95,70.62,70.66,0.17,4.86,0.59,66.84,74.49,7.39,7.44,0.02,"NC109","SC037",NA,7.41,7.42,0.09,1.65,0.13,5.16,9.61,70.55,70.7,0.02
"NC109","TX017","NC109","TX017",70.69,68.1,68.14,0.15,4.16,0.47,64.56,71.69,9.76,9.86,0.01,"NC109","TX017",NA,9.81,9.78,0.1,2.52,0.23,7.11,12.61,68.16,68.1,0.01
"NC109","TX018","NC109","TX018",73,69.58,69.57,0.14,4.21,0.45,66.01,73.16,8.98,9.21,0.05,"NC109","TX018",NA,9.07,9.06,0.09,2.27,0.17,6.52,11.67,69.43,69.73,0.05
"NC109","TX021","NC109","TX021",73.76,70.94,70.95,0.13,4.25,0.45,67.35,74.51,10.33,10.94,0.11,"NC109","TX021",NA,10.57,10.56,0.1,2.68,0.27,7.76,13.39,70.5,71.36,0.11
"NC109","TX023","NC109","TX023",77.96,72.22,72.21,0.17,6.1,0.62,67.9,76.51,9.7,10.78,0.2,"NC109","TX023",NA,10.24,10.23,0.1,2.11,0.18,7.74,12.76,71.37,73.01,0.2
"NC109","VA028","NC109","VA028",NA,71.73,71.74,0.14,4.24,0.6,68.13,75.31,5.63,5.77,0.04,"NC109","VA028",NA,5.67,5.68,0.05,0.92,0.07,4,7.34,71.65,71.77,0.04
"NC109","VA029","NC109","VA029",NA,71.16,71.15,0.14,3.84,0.52,67.78,74.61,6.86,7.25,0.11,"NC109","VA029",NA,7,7.02,0.09,1.22,0.13,5.1,8.95,70.73,71.46,0.11
"NC109","VA031","NC109","VA031",NA,70.81,70.8,0.15,4.51,0.51,67.08,74.45,6.75,6.9,0.03,"NC109","VA031",NA,6.79,6.79,0.08,1.1,0.11,4.99,8.63,70.77,70.91,0.03
"NC109","VA157","NC109","VA157",NA,69.26,69.27,0.1,3.06,0.35,66.25,72.34,8.09,8.41,0.06,"NC109","VA157",NA,8.25,8.25,0.09,1.36,0.11,6.23,10.3,69.07,69.42,0.06
"NC120","SC001","NC120","SC001",79.68,72.86,72.85,0.19,4.8,0.4,69.06,76.71,11.11,11.05,-0.02,"NC120","SC001",NA,11.14,11.14,0.08,1.4,0.17,9.08,13.21,72.98,72.86,-0.02
"NC120","SC004","NC120","SC004",77.81,73.37,73.38,0.2,6.26,0.6,68.98,77.64,11.23,11.07,-0.02,"NC120","SC004",NA,11.1,11.13,0.11,1.6,0.18,8.99,13.33,73.46,73.36,-0.02
"NC120","SC005","NC120","SC005",73.8,73.1,73.07,0.15,4.81,0.31,69.23,76.9,9.11,9.22,0.03,"NC120","SC005",NA,9.14,9.17,0.11,1.24,0.13,7.23,11.1,73,73.2,0.03
"NC120","SC037","NC120","SC037",76.91,72.72,72.78,0.19,5.59,0.53,68.68,76.89,10.22,9.36,-0.18,"NC120","SC037",NA,9.76,9.77,0.13,2.13,0.17,7.25,12.29,73.54,71.94,-0.18
"NC120","TX017","NC120","TX017",72.65,70.2,70.19,0.2,4.56,0.39,66.51,73.85,12.66,11.7,-0.21,"NC120","TX017",NA,12.16,12.15,0.11,1.47,0.14,10.1,14.29,70.83,69.27,-0.21
"NC120","TX018","NC120","TX018",74.95,71.67,71.67,0.15,4.63,0.45,67.95,75.42,11.77,10.92,-0.22,"NC120","TX018",NA,11.41,11.4,0.08,1.29,0.15,9.45,13.39,72.53,70.93,-0.22
"NC120","TX021","NC120","TX021",75.71,73.03,73.05,0.16,5.26,0.53,69.08,77.03,13.02,12.72,-0.08,"NC120","TX021",NA,12.91,12.9,0.11,1.76,0.18,10.64,15.24,73.38,72.81,-0.08
"NC120","TX023","NC120","TX023",79.91,74.31,74.31,0.16,5.22,0.36,70.27,78.15,12.67,12.51,-0.04,"NC120","TX023",NA,12.59,12.58,0.1,1.17,0.11,10.71,14.47,74.44,74.05,-0.04
"NC120","VA028","NC120","VA028",NA,73.82,73.85,0.2,5.45,0.57,69.81,77.85,8.35,7.75,-0.13,"NC120","VA028",NA,8.01,8.04,0.09,1.66,0.18,5.82,10.26,74.36,73.33,-0.13
"NC120","VA029","NC120","VA029",NA,73.26,73.26,0.2,6.1,0.53,68.97,77.54,9.26,9.59,0.09,"NC120","VA029",NA,9.35,9.37,0.09,1.25,0.13,7.45,11.32,72.83,73.63,0.09
"NC120","VA031","NC120","VA031",NA,72.91,72.91,0.2,5.56,0.52,68.78,77.01,9.44,8.96,-0.12,"NC120","VA031",NA,9.14,9.14,0.12,1.72,0.15,6.89,11.43,73.32,72.34,-0.12
"NC120","VA157","NC120","VA157",NA,71.35,71.38,0.18,5.33,0.37,67.39,75.42,10.81,10.51,-0.08,"NC120","VA157",NA,10.6,10.61,0.1,1.29,0.11,8.65,12.59,71.89,71,-0.08
"SC001","SC004","SC001","SC004",82.35,72.86,72.9,0.16,4.34,0.38,69.19,76.47,11.81,11.07,-0.17,"SC001","SC004",NA,11.37,11.39,0.11,1.83,0.17,9.04,13.71,73.46,72.13,-0.17
"SC001","SC005","SC001","SC005",78.33,72.58,72.57,0.12,2.57,0.22,69.76,75.34,9.61,9.27,-0.08,"SC001","SC005",NA,9.4,9.43,0.11,1.65,0.2,7.22,11.67,72.82,72.33,-0.08
"SC001","SC037","SC001","SC037",81.44,72.2,72.26,0.14,3.53,0.41,68.98,75.51,9.86,10.19,0.07,"SC001","SC037",NA,10.03,10.05,0.11,2.34,0.2,7.44,12.7,72.11,72.54,0.07
